dates,2Y,3Y,5Y,7Y,10Y,30Y,US RET
1/5/1983,-3.50%,-2.50%,0.00%,2.50%,3.00%,3.10%,0.26%
1/6/1983,-1.80%,1.20%,-0.80%,0.00%,1.00%,2.40%,1.89%
1/7/1983,-10.80%,-11.50%,-7.20%,-3.20%,-3.10%,-0.60%,-0.11%
1/10/1983,-3.50%,-1.30%,-1.60%,0.60%,0.50%,2.10%,1.00%
1/11/1983,-3.60%,-6.40%,-4.80%,-5.10%,-4.60%,-3.60%,-0.60%
1/12/1983,-3.60%,-3.90%,-4.70%,-6.30%,-5.00%,-2.00%,0.42%
1/13/1983,-3.60%,-3.80%,-4.00%,-1.90%,1.00%,-1.40%,-0.52%
1/14/1983,-0.20%,-0.20%,-2.40%,2.50%,3.00%,4.80%,0.66%
1/17/1983,3.50%,0.00%,-1.60%,-3.20%,-2.00%,1.80%,0.26%
1/18/1983,0.00%,2.50%,1.50%,1.20%,2.50%,4.40%,-0.19%
1/19/1983,12.50%,12.80%,10.30%,12.70%,11.20%,11.70%,-0.77%
1/20/1983,-3.00%,2.50%,3.90%,1.90%,2.10%,-0.70%,0.45%
1/21/1983,28.00%,28.40%,26.40%,19.10%,19.20%,12.10%,-1.48%
1/24/1983,1.80%,5.20%,4.90%,8.40%,3.60%,10.00%,-2.26%
1/25/1983,-8.80%,-10.40%,-11.30%,-8.40%,-7.30%,-6.70%,1.28%
1/26/1983,5.30%,5.20%,3.20%,4.50%,4.70%,9.30%,-0.20%
1/27/1983,-3.50%,-2.60%,2.40%,2.50%,2.10%,-7.10%,1.92%
1/28/1983,3.50%,4.00%,4.10%,3.30%,6.30%,5.20%,0.18%
1/31/1983,10.50%,7.80%,8.10%,7.80%,6.90%,9.20%,0.51%
2/1/1983,5.40%,4.00%,4.00%,-0.70%,0.50%,-2.60%,-1.47%
2/2/1983,0.00%,3.70%,0.00%,2.00%,2.20%,-1.40%,0.02%
2/3/1983,7.10%,6.20%,6.60%,7.80%,12.70%,9.30%,0.57%
2/4/1983,7.20%,6.20%,4.90%,4.00%,2.20%,7.90%,1.01%
2/7/1983,0.10%,1.30%,0.00%,1.90%,3.10%,-3.00%,0.62%
2/8/1983,7.20%,3.70%,5.00%,1.30%,1.10%,2.60%,-0.88%
2/9/1983,-1.70%,-2.50%,-0.80%,-1.90%,-3.70%,2.40%,-0.46%
2/10/1983,-19.70%,-16.10%,-19.70%,-18.40%,-16.20%,-17.50%,1.56%
2/11/1983,14.40%,11.20%,4.10%,-9.80%,6.30%,-1.80%,0.02%
2/14/1983,-3.60%,-5.00%,-4.10%,7.20%,-6.30%,1.50%,0.78%
2/15/1983,3.70%,3.70%,4.90%,6.50%,6.80%,3.70%,-0.34%
2/16/1983,-14.40%,-14.80%,-13.00%,-11.80%,-10.90%,-4.40%,-0.49%
2/17/1983,-5.50%,-7.50%,-8.20%,-7.10%,-10.30%,-8.20%,-0.03%
2/18/1983,-4.80%,-5.00%,-7.30%,-8.40%,-8.20%,-8.80%,0.36%
2/21/1983,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2/22/1983,-14.00%,-12.30%,-13.80%,-14.80%,-17.20%,-15.00%,-1.34%
2/23/1983,7.00%,4.90%,5.70%,4.50%,6.50%,0.30%,0.90%
2/24/1983,-8.70%,-5.00%,-8.10%,-7.70%,-6.50%,-1.40%,1.78%
2/25/1983,-10.50%,-12.40%,-10.50%,-10.20%,-12.00%,-11.50%,0.22%
2/28/1983,3.40%,-0.10%,0.80%,3.10%,0.40%,1.40%,-1.01%
3/1/1983,-10.50%,-12.30%,-11.30%,-8.90%,-9.40%,-7.00%,1.88%
3/2/1983,-7.10%,-5.00%,-0.80%,-5.00%,-2.50%,4.20%,0.63%
3/3/1983,6.90%,7.30%,3.20%,7.50%,7.40%,-4.90%,0.59%
3/4/1983,10.30%,9.70%,7.20%,7.60%,6.90%,2.80%,0.03%
3/7/1983,8.80%,7.40%,5.60%,6.40%,8.00%,11.80%,-0.13%
3/8/1983,15.80%,14.90%,12.20%,11.50%,9.00%,6.10%,-1.53%
3/9/1983,0.00%,-2.50%,6.50%,0.70%,1.00%,-0.50%,0.97%
3/10/1983,7.10%,7.50%,3.30%,5.10%,5.10%,2.50%,-0.63%
3/11/1983,-0.10%,2.40%,4.90%,3.30%,3.00%,8.30%,-0.14%
3/14/1983,-10.70%,-13.80%,-14.70%,-11.00%,-11.20%,-9.30%,-0.39%
3/15/1983,3.50%,5.00%,1.60%,3.80%,2.00%,-4.30%,0.49%
3/16/1983,10.70%,11.20%,7.40%,2.00%,4.10%,6.10%,-0.89%
3/17/1983,7.50%,2.50%,6.50%,2.50%,2.00%,2.10%,-0.09%
3/18/1983,10.50%,10.10%,4.10%,7.20%,7.10%,1.10%,0.24%
3/21/1983,-3.50%,-2.50%,1.70%,-2.00%,-2.10%,-0.30%,0.79%
3/22/1983,5.30%,22.10%,8.30%,6.60%,4.10%,0.00%,-0.13%
3/23/1983,-8.80%,-23.40%,-7.70%,-7.90%,-9.20%,-6.80%,1.35%
3/24/1983,1.80%,1.20%,0.00%,0.00%,0.00%,-2.20%,0.42%
3/25/1983,12.30%,10.20%,9.70%,10.50%,10.20%,9.00%,-0.44%
3/28/1983,-3.50%,-2.50%,0.00%,0.50%,-2.10%,-0.40%,-0.41%
3/29/1983,-5.30%,-2.60%,-4.80%,-5.10%,-4.10%,-3.90%,-0.03%
3/30/1983,3.50%,1.30%,1.60%,2.60%,2.00%,-0.70%,1.01%
3/31/1983,0.00%,-1.30%,-1.60%,-1.30%,2.00%,3.90%,-0.53%
4/1/1983,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
4/4/1983,-1.80%,-1.30%,-4.90%,-5.20%,-5.10%,-2.20%,0.01%
4/5/1983,-17.70%,-16.60%,-12.80%,-12.10%,-11.20%,-12.30%,-0.73%
4/6/1983,-5.40%,-3.90%,-1.60%,0.00%,0.50%,-2.10%,-0.49%
4/7/1983,3.60%,2.60%,3.20%,4.40%,3.50%,2.40%,0.37%
4/8/1983,-1.90%,-1.40%,-3.20%,-1.90%,-1.50%,1.80%,0.63%
4/11/1983,-16.10%,-15.30%,-10.40%,-11.50%,-9.10%,-10.80%,1.28%
4/12/1983,7.10%,5.10%,3.20%,3.20%,-14.20%,0.70%,0.26%
4/13/1983,-3.60%,-2.70%,-0.80%,-2.60%,12.60%,-2.10%,0.70%
4/14/1983,-7.10%,-10.20%,-8.80%,-12.60%,-11.00%,-8.20%,0.75%
4/15/1983,1.60%,5.00%,4.80%,3.10%,1.40%,2.80%,0.65%
4/18/1983,0.00%,0.00%,-2.40%,-3.20%,-2.00%,-4.70%,0.72%
4/19/1983,10.60%,11.60%,9.60%,14.50%,13.10%,11.60%,-0.58%
4/20/1983,-3.60%,-2.70%,-2.40%,-1.20%,-1.10%,2.10%,1.27%
4/21/1983,9.40%,9.10%,5.60%,5.60%,7.10%,5.20%,-0.35%
4/22/1983,-13.90%,-10.40%,-9.70%,-9.50%,-9.10%,-2.40%,0.20%
4/25/1983,3.50%,2.50%,4.10%,5.70%,4.00%,-2.10%,-0.94%
4/26/1983,-1.80%,-3.80%,-0.90%,-3.20%,-3.00%,-1.50%,1.65%
4/27/1983,-3.50%,-4.00%,-4.00%,-5.10%,-3.60%,-4.10%,-0.02%
4/28/1983,-10.50%,-12.90%,-8.00%,-7.60%,-6.00%,-2.00%,0.86%
4/29/1983,-12.30%,-9.10%,-7.20%,-4.50%,-6.00%,-2.10%,0.67%
5/2/1983,5.20%,6.40%,3.20%,3.80%,3.50%,-0.30%,-1.27%
5/3/1983,-1.80%,-2.70%,-4.80%,-3.80%,-2.10%,-1.00%,0.06%
5/4/1983,-7.10%,-6.20%,-4.00%,-3.80%,-4.50%,-10.20%,0.48%
5/5/1983,1.70%,0.20%,1.60%,2.50%,-2.30%,2.70%,0.56%
5/6/1983,5.10%,3.60%,1.60%,1.20%,2.60%,-2.60%,1.01%
5/9/1983,1.70%,1.30%,3.90%,3.10%,3.50%,9.80%,-0.30%
5/10/1983,-10.60%,-6.20%,-5.60%,-5.70%,-5.00%,-7.10%,0.03%
5/11/1983,1.70%,2.50%,3.20%,1.30%,1.50%,3.30%,-0.65%
5/12/1983,10.50%,7.30%,4.80%,6.30%,5.00%,6.50%,-0.35%
5/13/1983,8.80%,7.40%,7.30%,6.90%,5.20%,-1.70%,0.26%
5/16/1983,7.10%,7.40%,12.90%,13.40%,13.30%,16.30%,-0.87%
5/17/1983,1.80%,1.20%,-3.20%,-0.70%,1.00%,3.50%,0.12%
5/18/1983,1.70%,2.50%,2.40%,1.30%,0.60%,1.40%,-0.28%
5/19/1983,9.00%,6.10%,4.90%,4.50%,3.60%,7.80%,-0.78%
5/20/1983,14.40%,16.30%,14.80%,12.90%,13.60%,2.80%,0.06%
5/23/1983,0.00%,2.50%,1.60%,0.60%,-0.10%,2.20%,0.69%
